"exposure","outcome","exposure_label","outcome_label","n_snps","method","b","se","pval","or","or_lci","or_uci","fstat","steiger","het_q","het_p","egger_intercept","egger_p","presso_global_p","presso_outlier","note"
"NO2_air_pollution","T2D","NO2空气污染","2型糖尿病",6,"Weighted mode",0.254751035298836,0.587241811922526,0.682506485320079,1.29014038147138,0.408100049176487,4.07856408560075,33.8,"correct",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","MDD","NO2空气污染","抑郁症",8,"IVW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"insufficient_after_harmonise"
"NO2_air_pollution","Alzheimer","NO2空气污染","阿尔茨海默病",8,"IVW",0.00294552822948156,0.00342523575998284,0.389817129960832,1.0029498705602,0.99623915589533,1.00970578892043,37.8,"reversed",11.8283286056423,0.0659100048986386,6.72001419383e-05,0.819271952608541,"0.095",FALSE,"OK"
"NO2_air_pollution","Alzheimer","NO2空气污染","阿尔茨海默病",8,"MR Egger",-0.000813864820658173,0.0161732980355789,0.961499571445767,0.999186466277486,0.968009353572832,1.03136771427589,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","Alzheimer","NO2空气污染","阿尔茨海默病",8,"Weighted median",0.00248945962061466,0.0037948922926955,0.511822381836475,1.00249256089818,0.995063694526326,1.00997688910216,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","Alzheimer","NO2空气污染","阿尔茨海默病",8,"Weighted mode",0.00625705300496452,0.00602817238319871,0.333803822523729,1.00627666925308,0.99445725315371,1.01823656257908,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","CAD","PM2.5空气污染","冠心病",8,"IVW",0.248993516379795,0.770776052014754,0.746662963786233,1.28273371628461,0.283164424269973,5.81077863554135,36.6,"correct",165.14851184208,4.80433764650764e-33,0.0222539719955423,0.538262380169001,"<0.001",TRUE,"OK"
"PM25_air_pollution","CAD","PM2.5空气污染","冠心病",8,"MR Egger",-0.193216203579482,1.05190055945528,0.860312493250983,0.82430373745348,0.10487969998226,6.4786288642579,36.6,"correct",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","CAD","PM2.5空气污染","冠心病",8,"Weighted median",0.101769522431342,0.181679715555181,0.575371010066207,1.10712827408759,0.775441511133172,1.58069048108216,36.6,"correct",NA,NA,NA,NA,NA,NA,"OK"
"PM25_air_pollution","CAD","PM2.5空气污染","冠心病",8,"Weighted mode",0.121569500970459,0.151909761032937,0.449853791333259,1.12926784840919,0.838472386188519,1.52091576831489,36.6,"correct",NA,NA,NA,NA,NA,NA,"OK"
